(1041410W, 322520N)	(1043503W, 323229N)
(1041438W, 322609N)	(1031842W, 320219N)
(1042810W, 322700N)	(1042529W, 321211N)
(1043505W, 320515N)	(1042019W, 323037N)
(1041511W, 321206N)	(1042653W, 321049N)
(1040410W, 320957N)	(1042348W, 325104N)
(1042407W, 325027N)	(1041500W, 320303N)
(1042412W, 325032N)	(1044429W, 320431N)
(1034627W, 320309N)	(1042902W, 325700N)
(1040553W, 322531N)	(1043845W, 323052N)
(1043434W, 321240N)	(1044702W, 325635N)
(1042950W, 322024N)	(1035250W, 322114N)
(1041258W, 322637N)	(1034428W, 320044N)
(1044339W, 320819N)	(1042019W, 323037N)
(1042725W, 322738N)	(1043049W, 321635N)
(1042210W, 323756N)	(1034836W, 321938N)
(1042824W, 325102N)	(1044129W, 322349N)
(1040340W, 324501N)	(1042140W, 321316N)
(1042813W, 322745N)	(1041945W, 321707N)
(1043503W, 323229N)	(1041919W, 322442N)
(1041244W, 322030N)	(1044111W, 323302N)
(1035833W, 323556N)	(1041344W, 322514N)
(1043158W, 325658N)	(1042326W, 324814N)
(1042446W, 324834N)	(1043743W, 322030N)
(1041738W, 322140N)	(1042430W, 324904N)
(1043430W, 320012N)	(1042745W, 321653N)
(1040234W, 320750N)	(1041507W, 321202N)
(1044932W, 320652N)	(1044445W, 321127N)
(1041044W, 323049N)	(1041305W, 322305N)
(1043541W, 324850N)	(1043304W, 323644N)
(1042408W, 322926N)	(1041834W, 322927N)
(1042320W, 324610N)	(1041410W, 322620N)
(1040610W, 322146N)	(1040821W, 325028N)
(1044358W, 324837N)	(1035554W, 324745N)
(1043503W, 321851N)	(1044602W, 321351N)
(1041739W, 323354N)	(1041854W, 321039N)
(1044358W, 324837N)	(1041906W, 321519N)
(1042440W, 321454N)	(1041151W, 321411N)
(1042442W, 325057N)	(1041658W, 320223N)
(1042426W, 322920N)	(1041510W, 321223N)
(1041614W, 322806N)	(1044022W, 324725N)
(1042300W, 322607N)	(1040548W, 321711N)
(1034657W, 323024N)	(1044753W, 325249N)
(1042605W, 325047N)	(1043032W, 320138N)
(1043335W, 325047N)	(1042313W, 325115N)
(1041923W, 321642N)	(1042200W, 325953N)
(1044631W, 320322N)	(1042238W, 324807N)
(1040642W, 321012N)	(1042400W, 323204N)
(1042239W, 324559N)	(1041151W, 321411N)
(1044949W, 320941N)	(1041305W, 322304N)
(1040943W, 322652N)	(1042556W, 324807N)
(1043827W, 322928N)	(1042415W, 324754N)
(1042313W, 324930N)	(1035707W, 324958N)
(1045032W, 320207N)	(1041302W, 324600N)
(1043743W, 321620N)	(1035900W, 322059N)
(1044248W, 323030N)	(1041630W, 322819N)
(1042328W, 325045N)	(1044608W, 321247N)
